Year,Province,District,Total_Deaths_Cum,Injured_Total_Cum,Total_Houses_Damaged,Cropped_Area_Acres,Roads_Damaged_km,Flooded_Area_sqkm,Persons_Affected,Est_Damages_USD_Mn,Rainfall_Actual_mm,Rainfall_Anomaly_pct
2008,Punjab,Rahim Yar Khan,4,13,340,5291,9,28,18896,0.3,140,-9.1
2008,Punjab,Bahawalnagar,6,20,461,7168,12,38,25600,0.4,130,-12.8
2008,Punjab,Bahawalpur,7,23,512,7969,13,43,28460,0.5,135,-20.1
2008,Punjab,D.G. Khan,4,13,329,5119,8,27,18282,0.3,128,-4.5
2008,Punjab,Rajanpur,4,13,341,5306,9,28,18949,0.3,144,5.9
2008,Punjab,Mianwali,3,10,210,3265,5,17,11661,0.2,223,37.7
2008,Punjab,Khushab,3,10,219,3402,5,18,12149,0.2,219,37.7
2008,Punjab,Chakwal,5,16,411,6397,10,34,22845,0.4,166,21.2
2008,Punjab,Jhelum,5,16,409,6360,10,34,22714,0.4,98,-28.5
2008,Punjab,Kasur,7,23,551,8577,14,46,30631,0.5,188,24.5
2008,Punjab,Sheikhupura,6,20,494,7691,12,41,27467,0.4,203,20.1
2008,Punjab,Gujrat,4,13,341,5297,9,28,18918,0.3,144,-9.4
2008,Punjab,Hafizabad,3,10,253,3940,6,21,14070,0.2,112,-34.9
2008,Punjab,Narowal,6,20,491,7644,12,41,27300,0.4,140,4.5
2008,Punjab,Layyah,5,16,403,6263,10,34,22368,0.4,123,-30.5
2008,Punjab,Bhakkar,4,13,280,4353,7,23,15548,0.2,162,-7.4
2008,Sindh,All (Province Level),118,389,9132,142060,228,761,507358,8.1,145,29.5
2008,Sindh,Karachi,7,23,547,8505,14,46,30374,0.5,212,100.0
2008,Sindh,Hyderabad,8,26,657,10225,16,55,36519,0.6,212,96.3
2008,Sindh,Sukkur,4,13,343,5329,9,29,19032,0.3,158,30.6
2008,Sindh,Larkana,4,13,315,4895,8,26,17481,0.3,95,-11.2
2008,Sindh,Khairpur,6,20,451,7010,11,38,25035,0.4,105,-4.5
2008,Sindh,Jacobabad,12,40,931,14480,23,78,51715,0.8,168,47.4
2008,Sindh,Shikarpur,3,10,270,4195,7,22,14982,0.2,158,53.4
2008,Sindh,Kashmore,8,26,641,9966,16,53,35593,0.6,104,-14.8
2008,Sindh,Dadu,11,36,885,13764,22,74,49157,0.8,106,-4.5
2008,Sindh,Jamshoro,7,23,511,7950,13,43,28392,0.5,124,21.6
2008,Sindh,Thatta,7,23,527,8195,13,44,29267,0.5,200,56.2
2008,Sindh,Badin,9,30,694,10791,17,58,38539,0.6,113,14.1
2008,Sindh,Sanghar,7,23,521,8108,13,43,28958,0.5,202,83.6
2008,Sindh,Mirpur Khas,3,10,260,4040,6,22,14429,0.2,177,48.7
2008,Sindh,Tharparkar,7,23,515,8015,13,43,28625,0.5,123,20.6
2008,Sindh,Umerkot,9,30,715,11118,18,60,39708,0.6,125,30.2
2008,Sindh,Matiari,5,16,376,5845,9,31,20875,0.3,187,59.8
2008,Sindh,Qambar,4,13,296,4611,7,25,16468,0.3,97,-11.0
2008,KPK,All (Province Level),87,287,6678,103876,167,556,370986,5.9,225,38.0
2008,KPK,Peshawar,3,10,221,3443,6,18,12296,0.2,236,33.3
2008,KPK,Nowshera,4,13,294,4570,7,24,16323,0.3,182,19.7
2008,KPK,Charsadda,6,20,466,7246,12,39,25877,0.4,231,54.0
2008,KPK,Mardan,5,16,346,5389,9,29,19248,0.3,160,-12.1
2008,KPK,Swat,4,13,310,4823,8,26,17226,0.3,273,82.0
2008,KPK,Malakand,5,16,395,6147,10,33,21955,0.3,164,-6.8
2008,KPK,Dir Upper,3,10,253,3942,6,21,14079,0.2,146,-16.6
2008,KPK,Dir Lower,2,7,176,2732,4,15,9757,0.2,278,95.8
2008,KPK,Chitral,5,16,410,6372,10,34,22756,0.4,156,0.0
2008,KPK,Mansehra,8,26,591,9187,15,49,32811,0.5,223,21.9
2008,KPK,Abbottabad,6,20,439,6825,11,37,24374,0.4,213,26.0
2008,KPK,Haripur,6,20,495,7699,12,41,27497,0.4,331,88.1
2008,KPK,Swabi,3,10,263,4084,7,22,14587,0.2,265,87.9
2008,KPK,Buner,4,13,337,5246,8,28,18736,0.3,177,12.7
2008,KPK,Shangla,5,16,406,6311,10,34,22541,0.4,307,106.0
2008,KPK,Kohistan,4,13,294,4571,7,24,16325,0.3,258,68.6
2008,KPK,Battagram,4,13,329,5116,8,27,18271,0.3,215,24.3
2008,KPK,Tor Ghar,3,10,237,3680,6,20,13143,0.2,158,-3.7
2008,Balochistan,All (Province Level),57,188,4371,68001,109,364,242860,3.9,167,50.5
2008,Balochistan,Quetta,3,10,252,3915,6,21,13981,0.2,190,100.0
2008,Balochistan,Khuzdar,4,13,285,4440,7,24,15856,0.3,217,80.8
2008,Balochistan,Turbat,2,7,164,2553,4,14,9119,0.1,222,126.5
2008,Balochistan,Gwadar,5,16,352,5469,9,29,19533,0.3,153,43.0
2008,Balochistan,Lasbela,6,20,487,7570,12,41,27036,0.4,104,-16.1
2008,Balochistan,Mastung,3,10,216,3365,5,18,12019,0.2,110,7.8
2008,Balochistan,Kalat,3,10,195,3041,5,16,10860,0.2,244,93.7
2008,Balochistan,Sibi,4,13,298,4634,7,25,16549,0.3,155,52.0
2008,Balochistan,Nasirabad,5,16,367,5702,9,31,20363,0.3,122,0.8
2008,Balochistan,Jaffarabad,2,7,188,2930,5,16,10463,0.2,238,128.8
2008,Balochistan,Bolan,2,7,121,1884,3,10,6728,0.1,101,-12.2
2008,Balochistan,Zhob,3,10,238,3699,6,20,13209,0.2,175,49.6
2008,Balochistan,Loralai,4,13,270,4193,7,22,14974,0.2,165,71.9
2008,Balochistan,Dera Bugti,2,7,181,2819,5,15,10069,0.2,248,105.0
2008,Balochistan,Kohlu,3,10,242,3764,6,20,13444,0.2,250,111.9
2008,Balochistan,Jhal Magsi,4,13,270,4206,7,23,15021,0.2,111,-3.5
2008,AJK,All (Province Level),33,109,2546,39597,64,212,141419,2.3,242,48.5
2008,AJK,Muzaffarabad,3,10,208,3230,5,17,11534,0.2,302,100.0
2008,AJK,Mirpur,5,16,394,6131,10,33,21896,0.3,254,82.7
2008,AJK,Rawlakot,3,10,251,3898,6,21,13920,0.2,194,26.0
2008,AJK,Kotli,3,10,212,3298,5,18,11779,0.2,250,46.2
2008,AJK,Bagh,8,26,585,9106,15,49,32520,0.5,155,-11.9
2008,AJK,Haveli,7,23,573,8920,14,48,31858,0.5,271,73.7
2008,AJK,Neelum,4,13,299,4649,7,25,16604,0.3,198,33.8
2008,AJK,Hattian,2,7,166,2581,4,14,9218,0.1,153,4.1
2008,Gilgit-Baltistan,All (Province Level),20,66,1549,24096,39,129,86057,1.4,179,26.1
2008,Gilgit-Baltistan,Gilgit,3,10,204,3177,5,17,11346,0.2,260,63.5
2008,Gilgit-Baltistan,Skardu,2,7,159,2472,4,13,8829,0.1,203,57.4
2008,Gilgit-Baltistan,Ghanche,1,3,82,1275,2,7,4555,0.1,259,82.4
2008,Gilgit-Baltistan,Ghizer,2,7,180,2798,4,15,9992,0.2,232,55.7
2008,Gilgit-Baltistan,Hunza,2,7,145,2251,4,12,8040,0.1,113,-10.3
2008,Gilgit-Baltistan,Nagar,2,7,145,2257,4,12,8060,0.1,264,103.1
2008,Gilgit-Baltistan,Astore,1,3,110,1718,3,9,6137,0.1,263,102.3
2008,Gilgit-Baltistan,Diamer,2,7,158,2450,4,13,8751,0.1,160,6.0
2008,FATA,All (Province Level),16,53,1271,19767,32,106,70597,1.1,225,36.4
2008,FATA,Khyber,2,7,157,2449,4,13,8748,0.1,245,40.0
2008,FATA,Kurram,2,7,191,2975,5,16,10625,0.2,189,11.2
2008,FATA,Orakzai,1,3,110,1716,3,9,6127,0.1,238,49.7
2008,FATA,Mohmand,3,10,215,3350,5,18,11966,0.2,322,84.0
2008,FATA,Bajaur,2,7,194,3016,5,16,10772,0.2,205,30.6
2008,FATA,North Waziristan,3,10,231,3594,6,19,12836,0.2,327,98.2
2008,FATA,South Waziristan,3,10,209,3244,5,17,11586,0.2,140,-23.1
2009,Pakistan (National),All,358,1181,25200,392000,630,2100,1400000,22.3,158,16.2
2009,Punjab,All (Province Level),118,389,8279,128788,207,690,459958,7.3,171,6.2
2009,Punjab,Lahore,5,16,364,5669,9,30,20246,0.3,226,37.8
2009,Punjab,Multan,3,10,193,3000,5,16,10713,0.2,147,-17.9
2009,Punjab,Faisalabad,6,20,389,6044,10,32,21587,0.3,231,27.6
2009,Punjab,Rawalpindi,4,13,303,4715,8,25,16838,0.3,150,-2.6
2009,Punjab,Gujranwala,3,10,222,3453,6,18,12332,0.2,223,47.7
2009,Punjab,Sargodha,2,7,170,2650,4,14,9466,0.1,248,47.6
2009,Punjab,Sialkot,5,16,350,5443,9,29,19440,0.3,118,-21.3
2009,Punjab,Jhang,3,10,190,2956,5,16,10558,0.2,130,-29.3
2009,Punjab,Muzaffargarh,5,16,380,5918,10,32,21134,0.3,156,0.0
2009,Punjab,Rahim Yar Khan,3,10,222,3454,6,19,12337,0.2,204,10.9
2009,Punjab,Bahawalnagar,6,20,422,6568,11,35,23456,0.4,117,-29.5
2009,Punjab,Bahawalpur,3,10,218,3394,5,18,12121,0.2,141,-17.1
2009,Punjab,D.G. Khan,4,13,270,4205,7,23,15018,0.2,236,29.0
2009,Punjab,Rajanpur,7,23,504,7834,13,42,27978,0.4,134,-18.8
2009,Punjab,Mianwali,3,10,179,2787,4,15,9954,0.2,142,-10.7
2009,Punjab,Khushab,4,13,252,3914,6,21,13979,0.2,253,78.2
2009,Punjab,Chakwal,7,23,516,8031,13,43,28681,0.5,169,13.4
2009,Punjab,Jhelum,5,16,385,5994,10,32,21407,0.3,201,34.9
2009,Punjab,Kasur,7,23,522,8112,13,43,28973,0.5,105,-29.5
2009,Punjab,Sheikhupura,3,10,182,2827,5,15,10095,0.2,215,29.5
2009,Punjab,Gujrat,7,23,524,8158,13,44,29134,0.5,229,25.8
2009,Punjab,Hafizabad,7,23,470,7317,12,39,26131,0.4,183,30.7
2009,Punjab,Narowal,4,13,296,4607,7,25,16454,0.3,159,-11.7
2009,Punjab,Layyah,5,16,318,4943,8,26,17655,0.3,211,33.5
2009,Punjab,Bhakkar,3,10,223,3472,6,19,12399,0.2,148,-6.3
2009,Sindh,All (Province Level),78,257,5461,84951,137,455,303398,4.8,165,3.8
2009,Sindh,Karachi,4,13,300,4668,8,25,16670,0.3,123,-14.0
2009,Sindh,Hyderabad,7,23,498,7750,12,42,27678,0.4,201,43.6
2009,Sindh,Sukkur,4,13,315,4892,8,26,17473,0.3,152,0.0
2009,Sindh,Larkana,8,26,545,8485,14,45,30304,0.5,148,-2.6
2009,Sindh,Khairpur,2,7,171,2661,4,14,9503,0.1,181,13.8
2009,Sindh,Jacobabad,7,23,493,7673,12,41,27405,0.4,210,34.6
2009,Sindh,Shikarpur,3,10,230,3579,6,19,12781,0.2,133,-5.7
2009,Sindh,Kashmore,5,16,377,5869,9,31,20959,0.3,123,-11.5
2009,Sindh,Dadu,3,10,205,3194,5,17,11406,0.2,115,-21.2
2009,Sindh,Jamshoro,2,7,158,2460,4,13,8786,0.1,134,-8.2
2009,Sindh,Thatta,4,13,266,4138,7,22,14778,0.2,179,6.5
2009,Sindh,Badin,5,16,338,5261,8,28,18789,0.3,193,19.9
2009,Sindh,Sanghar,3,10,200,3104,5,17,11087,0.2,202,39.3
2009,Sindh,Mirpur Khas,4,13,291,4526,7,24,16164,0.3,102,-41.0
2009,Sindh,Tharparkar,5,16,381,5928,10,32,21173,0.3,137,0.7
2009,Sindh,Umerkot,7,23,483,7521,12,40,26861,0.4,171,13.2
2009,Sindh,Matiari,7,23,505,7863,13,42,28081,0.4,168,20.9
2009,Sindh,Qambar,2,7,158,2458,4,13,8777,0.1,229,48.7
2009,KPK,All (Province Level),75,248,5264,81889,132,439,292459,4.7,119,-7.8
2009,KPK,Peshawar,4,13,276,4301,7,23,15361,0.2,95,-22.8
2009,KPK,Nowshera,5,16,320,4973,8,27,17760,0.3,142,3.6
2009,KPK,Charsadda,3,10,202,3148,5,17,11242,0.2,158,12.9
2009,KPK,Mardan,5,16,371,5764,9,31,20587,0.3,152,7.8
2009,KPK,Swat,5,16,375,5838,9,31,20851,0.3,90,-23.1
2009,KPK,Malakand,6,20,390,6060,10,32,21643,0.3,141,-2.1
2009,KPK,Dir Upper,5,16,322,5006,8,27,17879,0.3,100,-14.5
2009,KPK,Dir Lower,5,16,337,5237,8,28,18704,0.3,126,7.7
2009,KPK,Chitral,6,20,424,6589,11,35,23532,0.4,157,30.8
2009,KPK,Mansehra,4,13,297,4625,7,25,16519,0.3,100,-14.5
2009,KPK,Abbottabad,3,10,245,3817,6,20,13631,0.2,159,13.6
2009,KPK,Haripur,5,16,323,5023,8,27,17941,0.3,118,6.3
2009,KPK,Swabi,3,10,225,3498,6,19,12494,0.2,76,-43.7
2009,KPK,Buner,4,13,299,4658,7,25,16635,0.3,178,25.4
2009,KPK,Shangla,2,7,126,1954,3,10,6977,0.1,178,45.9
2009,KPK,Kohistan,5,16,370,5757,9,31,20559,0.3,76,-39.7
2009,KPK,Battagram,6,20,390,6072,10,33,21686,0.3,105,-22.2
2009,KPK,Tor Ghar,5,16,380,5917,10,32,21132,0.3,76,-46.5
2009,Balochistan,All (Province Level),48,158,3355,52183,84,280,186367,3.0,176,25.7
2009,Balochistan,Quetta,3,10,236,3676,6,20,13129,0.2,142,-1.4
2009,Balochistan,Khuzdar,3,10,178,2772,4,15,9899,0.2,263,64.4
2009,Balochistan,Turbat,2,7,168,2610,4,14,9321,0.1,178,21.1
2009,Balochistan,Gwadar,2,7,140,2177,3,12,7775,0.1,215,45.3
2009,Balochistan,Lasbela,4,13,252,3926,6,21,14020,0.2,134,-10.1
2009,Balochistan,Mastung,1,3,100,1554,2,8,5550,0.1,229,57.9
2009,Balochistan,Kalat,4,13,313,4868,8,26,17384,0.3,183,34.6
2009,Balochistan,Sibi,4,13,313,4867,8,26,17382,0.3,200,49.3
2009,Balochistan,Nasirabad,2,7,130,2029,3,11,7245,0.1,245,57.1
2009,Balochistan,Jaffarabad,3,10,238,3698,6,20,13207,0.2,222,69.5
2009,Balochistan,Bolan,5,16,315,4893,8,26,17474,0.3,260,87.1
2009,Balochistan,Zhob,2,7,153,2377,4,13,8488,0.1,235,51.6
2009,Balochistan,Loralai,1,3,99,1539,2,8,5497,0.1,142,2.2
2009,Balochistan,Dera Bugti,2,7,174,2710,4,15,9679,0.2,226,41.2
2009,Balochistan,Kohlu,2,7,152,2370,4,13,8466,0.1,142,14.5
2009,Balochistan,Jhal Magsi,1,3,97,1516,2,8,5415,0.1,234,87.2
2009,AJK,All (Province Level),19,63,1323,20576,33,110,73485,1.2,164,31.2
2009,AJK,Muzaffarabad,3,10,179,2789,4,15,9960,0.2,120,-7.7
2009,AJK,Mirpur,2,7,140,2181,4,12,7791,0.1,220,103.7
2009,AJK,Rawlakot,3,10,195,3040,5,16,10858,0.2,213,53.2
2009,AJK,Kotli,4,13,304,4726,8,25,16879,0.3,153,34.2
2009,AJK,Bagh,3,10,196,3042,5,16,10864,0.2,152,10.1
2009,AJK,Haveli,2,7,162,2518,4,13,8994,0.1,127,-10.6
2009,AJK,Neelum,3,10,178,2766,4,15,9880,0.2,132,3.9
2009,AJK,Hattian,2,7,144,2234,4,12,7979,0.1,140,22.8
2009,Gilgit-Baltistan,All (Province Level),16,53,1137,17689,28,95,63176,1.0,218,55.7
2009,Gilgit-Baltistan,Gilgit,1,3,93,1443,2,8,5152,0.1,240,55.8
2009,Gilgit-Baltistan,Skardu,1,3,85,1324,2,7,4728,0.1,302,134.1
2009,Gilgit-Baltistan,Ghanche,3,10,198,3076,5,16,10987,0.2,278,122.4
2009,Gilgit-Baltistan,Ghizer,2,7,176,2731,4,15,9753,0.2,139,6.1
2009,Gilgit-Baltistan,Hunza,2,7,135,2097,3,11,7490,0.1,280,124.0
2009,Gilgit-Baltistan,Nagar,3,10,248,3852,6,21,13756,0.2,209,35.7
2009,Gilgit-Baltistan,Astore,2,7,120,1870,3,10,6679,0.1,251,59.9
2009,Gilgit-Baltistan,Diamer,1,3,78,1219,2,7,4354,0.1,217,40.9
2009,FATA,All (Province Level),10,33,696,10834,17,58,38692,0.6,116,-21.6
2009,FATA,Khyber,1,3,62,967,2,5,3454,0.1,153,7.0
2009,FATA,Kurram,1,3,81,1262,2,7,4507,0.1,129,-22.8
2009,FATA,Orakzai,2,7,134,2084,3,11,7443,0.1,151,11.0
2009,FATA,Mohmand,2,7,146,2277,4,12,8133,0.1,97,-36.6
2009,FATA,Bajaur,3,10,177,2757,4,15,9846,0.2,147,6.5
2009,FATA,North Waziristan,2,7,136,2115,3,11,7553,0.1,135,-20.6
2009,FATA,South Waziristan,1,3,80,1250,2,7,4464,0.1,105,-35.6
2010,Pakistan (National),All,2025,6682,378000,5880000,9450,31500,21000000,8181.8,422,174.0
2010,Punjab,All (Province Level),546,1802,101928,1585549,2548,8494,5662675,2206.2,471,256.8
2010,Punjab,Lahore,16,53,2991,46530,75,249,166177,64.7,563,296.5
2010,Punjab,Multan,33,109,6200,96439,155,517,344424,134.2,306,173.2
2010,Punjab,Faisalabad,24,79,4528,70439,113,377,251567,98.0,662,347.3
2010,Punjab,Rawalpindi,12,40,2283,35512,57,190,126829,49.4,428,231.8
2010,Punjab,Gujranwala,20,66,3670,57094,92,306,203906,79.4,492,296.8
2010,Punjab,Sargodha,14,46,2584,40200,65,215,143573,55.9,665,427.8
2010,Punjab,Sialkot,30,99,5601,87127,140,467,311169,121.2,561,279.1
2010,Punjab,Jhang,34,112,6385,99326,160,532,354735,138.2,327,142.2
2010,Punjab,Muzaffargarh,12,40,2157,33558,54,180,119849,46.7,535,279.4
2010,Punjab,Rahim Yar Khan,11,36,1976,30743,49,165,109795,42.8,523,321.8
2010,Punjab,Bahawalnagar,21,69,3970,61758,99,331,220566,85.9,465,269.0
2010,Punjab,Bahawalpur,17,56,3265,50785,82,272,181374,70.7,543,345.1
2010,Punjab,D.G. Khan,28,92,5311,82623,133,443,295082,115.0,431,239.4
2010,Punjab,Rajanpur,13,43,2336,36341,58,195,129789,50.6,487,235.9
2010,Punjab,Mianwali,27,89,5023,78135,126,419,279053,108.7,477,284.7
2010,Punjab,Khushab,26,86,4918,76506,123,410,273234,106.5,296,126.0
2010,Punjab,Chakwal,33,109,6222,96785,156,518,345660,134.7,586,409.6
2010,Punjab,Jhelum,34,112,6434,100087,161,536,357453,139.3,315,150.0
2010,Punjab,Kasur,31,102,5720,88974,143,477,317763,123.8,441,261.5
2010,Punjab,Sheikhupura,28,92,5249,81650,131,437,291606,113.6,312,143.8
2010,Punjab,Gujrat,11,36,2102,32703,53,175,116796,45.5,354,140.8
2010,Punjab,Hafizabad,34,112,6401,99572,160,533,355613,138.6,376,155.8
2010,Punjab,Narowal,23,76,4339,67494,108,362,241051,93.9,602,352.6
2010,Punjab,Layyah,23,76,4254,66181,106,355,236360,92.1,636,374.6
2010,Punjab,Bhakkar,26,86,4908,76347,123,409,272668,106.2,640,388.5
2010,Sindh,All (Province Level),480,1584,89545,1392918,2239,7462,4974708,1938.2,307,119.3
2010,Sindh,Karachi,27,89,5063,78763,127,422,281295,109.6,280,90.5
2010,Sindh,Hyderabad,29,96,5487,85360,137,457,304858,118.8,458,281.7
2010,Sindh,Sukkur,21,69,3898,60640,97,325,216572,84.4,234,61.4
2010,Sindh,Larkana,19,63,3633,56507,91,303,201810,78.6,231,68.6
2010,Sindh,Khairpur,18,59,3377,52536,84,281,187627,73.1,189,28.6
2010,Sindh,Jacobabad,17,56,3129,48671,78,261,173826,67.7,454,263.2
2010,Sindh,Shikarpur,18,59,3341,51977,84,278,185632,72.3,195,36.4
2010,Sindh,Kashmore,16,53,2982,46389,75,249,165675,64.5,269,122.3
2010,Sindh,Dadu,24,79,4494,69908,112,375,249670,97.3,380,192.3
2010,Sindh,Jamshoro,14,46,2618,40717,65,218,145418,56.7,414,170.6
2010,Sindh,Thatta,29,96,5388,83817,135,449,299345,116.6,309,132.3
2010,Sindh,Badin,24,79,4553,70828,114,379,252957,98.6,320,131.9
2010,Sindh,Sanghar,18,59,3432,53390,86,286,190680,74.3,407,169.5
2010,Sindh,Mirpur Khas,22,73,4048,62974,101,337,224906,87.6,372,207.4
2010,Sindh,Tharparkar,20,66,3743,58217,94,312,207918,81.0,256,64.1
2010,Sindh,Umerkot,21,69,3828,59542,96,319,212650,82.8,370,140.3
2010,Sindh,Matiari,20,66,3731,58040,93,311,207285,80.8,284,93.2
2010,Sindh,Qambar,23,76,4221,65661,106,352,234503,91.4,454,198.7
2010,KPK,All (Province Level),379,1251,70824,1101714,1771,5902,3934694,1533.0,434,169.6
2010,KPK,Peshawar,27,89,5068,78839,127,422,281568,109.7,339,86.3
2010,KPK,Nowshera,19,63,3573,55581,89,298,198505,77.3,580,317.3
2010,KPK,Charsadda,17,56,3240,50398,81,270,179993,70.1,359,100.6
2010,KPK,Mardan,30,99,5580,86800,140,465,310000,120.8,387,127.6
2010,KPK,Swat,22,73,4051,63017,101,338,225062,87.7,368,111.5
2010,KPK,Malakand,27,89,5084,79088,127,424,282458,110.0,346,147.1
2010,KPK,Dir Upper,13,43,2446,38044,61,204,135870,52.9,394,146.2
2010,KPK,Dir Lower,8,26,1514,23548,38,126,84099,32.8,361,161.6
2010,KPK,Chitral,12,40,2330,36237,58,194,129417,50.4,520,184.2
2010,KPK,Mansehra,22,73,4187,65129,105,349,232605,90.6,288,104.3
2010,KPK,Abbottabad,15,50,2804,43613,70,234,155760,60.7,540,257.6
2010,KPK,Haripur,30,99,5622,87459,141,469,312355,121.7,526,187.4
2010,KPK,Swabi,17,56,3099,48206,77,258,172165,67.1,508,206.0
2010,KPK,Buner,25,82,4740,73730,118,395,263320,102.6,394,175.5
2010,KPK,Shangla,18,59,3448,53630,86,287,191534,74.6,417,142.4
2010,KPK,Kohistan,23,76,4359,67807,109,363,242168,94.3,360,162.8
2010,KPK,Battagram,23,76,4230,65796,106,352,234987,91.6,294,80.4
2010,KPK,Tor Ghar,12,40,2205,34299,55,184,122498,47.7,383,169.7
2010,Balochistan,All (Province Level),245,808,45794,712347,1145,3816,2544095,991.2,553,198.9
2010,Balochistan,Quetta,12,40,2172,33779,54,181,120639,47.0,667,242.1
2010,Balochistan,Khuzdar,10,33,1883,29292,47,157,104613,40.8,677,245.4
2010,Balochistan,Turbat,20,66,3773,58689,94,314,209604,81.7,425,167.3
2010,Balochistan,Gwadar,17,56,3160,49149,79,263,175531,68.4,394,86.7
2010,Balochistan,Lasbela,12,40,2240,34848,56,187,124457,48.5,360,120.9
2010,Balochistan,Mastung,21,69,3882,60383,97,323,215655,84.0,352,90.3
2010,Balochistan,Kalat,21,69,3948,61419,99,329,219354,85.5,735,286.8
2010,Balochistan,Sibi,12,40,2251,35013,56,188,125048,48.7,681,262.2
2010,Balochistan,Nasirabad,9,30,1714,26663,43,143,95226,37.1,713,263.8
2010,Balochistan,Jaffarabad,19,63,3497,54393,87,291,194261,75.7,537,156.9
2010,Balochistan,Bolan,21,69,3897,60622,97,325,216507,84.4,363,106.2
2010,Balochistan,Zhob,22,73,4163,64751,104,347,231255,90.1,508,183.8
2010,Balochistan,Loralai,15,50,2783,43288,70,232,154600,60.2,552,186.0
2010,Balochistan,Dera Bugti,22,73,4185,65094,105,349,232479,90.6,407,121.2
2010,Balochistan,Kohlu,10,33,1862,28958,47,155,103423,40.3,527,217.5
2010,Balochistan,Jhal Magsi,17,56,3184,49530,80,265,176893,68.9,766,305.3
2010,AJK,All (Province Level),106,350,19817,308271,495,1651,1100968,428.9,463,158.7
2010,AJK,Muzaffarabad,8,26,1549,24090,39,129,86036,33.5,526,237.2
2010,AJK,Mirpur,13,43,2462,38296,62,205,136771,53.3,476,155.9
2010,AJK,Rawlakot,15,50,2765,43008,69,230,153601,59.8,642,214.7
2010,AJK,Kotli,12,40,2265,35230,57,189,125823,49.0,520,157.4
2010,AJK,Bagh,14,46,2563,39866,64,214,142380,55.5,687,337.6
2010,AJK,Haveli,14,46,2529,39344,63,211,140516,54.7,437,181.9
2010,AJK,Neelum,9,30,1713,26652,43,143,95186,37.1,298,52.0
2010,AJK,Hattian,18,59,3325,51729,83,277,184747,72.0,622,234.4
2010,Gilgit-Baltistan,All (Province Level),92,304,17197,267513,430,1433,955402,372.2,455,184.4
2010,Gilgit-Baltistan,Gilgit,6,20,1083,16849,27,90,60175,23.4,520,200.6
2010,Gilgit-Baltistan,Skardu,6,20,1203,18721,30,100,66861,26.1,340,134.5
2010,Gilgit-Baltistan,Ghanche,10,33,1943,30232,49,162,107972,42.1,471,205.8
2010,Gilgit-Baltistan,Ghizer,5,16,897,13958,22,75,49851,19.4,508,211.7
2010,Gilgit-Baltistan,Hunza,5,16,895,13922,22,75,49723,19.4,291,100.7
2010,Gilgit-Baltistan,Nagar,20,66,3746,58279,94,312,208138,81.1,394,181.4
2010,Gilgit-Baltistan,Astore,10,33,1856,28866,46,155,103093,40.2,420,129.5
2010,Gilgit-Baltistan,Diamer,10,33,1959,30467,49,163,108809,42.4,304,123.5
2010,FATA,All (Province Level),61,201,11305,175852,283,942,628043,244.7,418,234.4
2010,FATA,Khyber,13,43,2493,38777,62,208,138489,54.0,525,344.9
2010,FATA,Kurram,7,23,1292,20103,32,108,71798,28.0,506,298.4
2010,FATA,Orakzai,6,20,1147,17844,29,96,63730,24.8,545,281.1
2010,FATA,Mohmand,6,20,1100,17105,27,92,61090,23.8,405,183.2
2010,FATA,Bajaur,10,33,1892,29438,47,158,105134,41.0,468,241.6
2010,FATA,North Waziristan,8,26,1509,23478,38,126,83849,32.7,407,220.5
2010,FATA,South Waziristan,6,20,1134,17638,28,94,62992,24.5,400,260.4
2011,Pakistan (National),All,520,1716,174600,2716000,4365,14550,9700000,2327.3,298,101.4
2011,Punjab,All (Province Level),149,492,50108,779464,1253,4176,2783799,667.9,348,136.7
2011,Punjab,Lahore,5,16,1718,26723,43,143,95441,22.9,357,139.6
2011,Punjab,Multan,3,10,961,14949,24,80,53388,12.8,453,202.0
2011,Punjab,Faisalabad,9,30,2964,46114,74,247,164693,39.5,400,174.0
2011,Punjab,Rawalpindi,7,23,2221,34556,56,185,123416,29.6,299,139.2
2011,Punjab,Gujranwala,3,10,1104,17167,28,92,61312,14.7,504,278.9
2011,Punjab,Sargodha,6,20,1989,30934,50,166,110477,26.5,372,126.8
2011,Punjab,Sialkot,8,26,2665,41455,67,222,148052,35.5,396,146.0
2011,Punjab,Jhang,5,16,1737,27025,43,145,96518,23.2,293,118.7
2011,Punjab,Muzaffargarh,6,20,2085,32426,52,174,115807,27.8,402,211.6
2011,Punjab,Rahim Yar Khan,4,13,1245,19367,31,104,69167,16.6,334,107.5
2011,Punjab,Bahawalnagar,10,33,3279,51004,82,273,182156,43.7,215,62.9
2011,Punjab,Bahawalpur,8,26,2582,40157,65,215,143419,34.4,501,196.4
2011,Punjab,D.G. Khan,3,10,923,14361,23,77,51289,12.3,490,260.3
2011,Punjab,Rajanpur,7,23,2215,34452,55,185,123044,29.5,284,79.7
2011,Punjab,Mianwali,5,16,1829,28454,46,152,101622,24.4,411,147.6
2011,Punjab,Khushab,9,30,3056,47534,76,255,169765,40.7,332,153.4
2011,Punjab,Chakwal,4,13,1420,22096,36,118,78916,18.9,307,113.2
2011,Punjab,Jhelum,5,16,1563,24317,39,130,86847,20.8,271,70.4
2011,Punjab,Kasur,10,33,3382,52602,85,282,187864,45.1,266,59.3
2011,Punjab,Sheikhupura,4,13,1513,23534,38,126,84051,20.2,287,106.5
2011,Punjab,Gujrat,10,33,3307,51442,83,276,183722,44.1,448,242.0
